id,발생시각,처음확인,마지막변경,권역,보낸곳,출처,지역,건물,건물종류,화재종류,진행상태,등급,신빙성,규모,규모근거,진화,층,아래층물피해,관련기사수,언론사,관련기사,네이버뉴스,네이버블로그,네이버카페
7adb802ea4cb,2026-09-24T03:14:05+09:00,,2026-09-25T06:03:24+09:00,서울 남부,,소방출동,서울특별시 영등포구 양평동6가,,,"고층건물(3층이상,아파트)",진화중,★,,,,,,,0,,,0,0,0
1d0406f42f01,2026-09-24T03:19:09+09:00,,2026-09-25T06:03:24+09:00,서울 남부,,소방출동,서울특별시 강서구 마곡동,,,"일반화재(차량,주택)",진화중,,,,,,,,0,,,0,0,0
30325a27d4be,2026-09-24T04:26:48+09:00,,2026-09-25T06:03:24+09:00,서울 남부,,소방출동,서울특별시 서초구 우면동,연구2단지,아파트,기타화재,진화중,★★,,,,,,,0,,,0,0,0
e37ef62bcf8b,2026-09-24T04:43:03+09:00,,2026-09-25T06:03:24+09:00,경기 남부,,소방출동,경기도 화성시 만세구 팔탄면 율암리,11동 이도정밀,,"일반화재(차량,주택)",진화중,★,,,,,,,0,,,0,0,0
0c3645d64f10,2026-09-24T05:19:57+09:00,,2026-09-25T06:03:24+09:00,경기 북부,,소방출동,경기도 양주시 산북동,한승아파트,아파트,"일반화재(차량,주택)",진화중,★★,,,,,,,0,,,0,0,0
fb49153c9dc6,2026-09-24T05:45:07+09:00,,2026-09-25T06:03:24+09:00,인천,,소방출동,인천광역시 계양구 계산동,하나아파트,아파트,"고층건물(3층이상,아파트)",방문가능,★★,,,,,,,0,,,0,0,0
ed9a2d9986bd,2026-09-24T05:54:34+09:00,,2026-09-25T06:03:24+09:00,인천,,소방출동,인천광역시 옹진군 백령면 연화리,,,"일반화재(차량,주택)",방문가능,★,,,,,,,0,,,0,0,0
d00ce4416d06,2026-09-24T06:53:11+09:00,2026-09-24T08:55:14.856166+09:00,2026-09-25T06:03:24+09:00,경기 북부,,소방출동,경기도 포천시 신북면 기지리,윤중아파트 맞은 편 공장추정,아파트,기타화재,진화중,★★,,,,,,,0,,,0,0,0
4c14759527b0,2026-09-24T07:01:03+09:00,,2026-09-25T06:03:24+09:00,경기 서부,,소방출동,경기도 부천시 소사구 송내동,현대종합상가,상가·빌딩,기타화재,진화중,★★,,,,,,,0,,,0,0,0
d5527a105aba,2026-09-24T07:33:12+09:00,2026-09-24T08:55:14.856166+09:00,2026-09-25T06:03:24+09:00,경기 북부,,구글뉴스,경기도 양주 산북동,,,,확인필요,,,,,,,,0,,,0,0,0
6f3386b1ce08,2026-09-24T07:36:31+09:00,2026-09-24T08:55:14.856166+09:00,2026-09-25T06:03:24+09:00,경기 남부,,소방출동,경기도 수원시 팔달구 인계동,,,"일반화재(차량,주택)",진화중,,,,,,,,0,,,0,0,0
3c203345ce3c,2026-09-24T07:51:47+09:00,,2026-09-25T06:03:24+09:00,서울 남부,,구글뉴스,서울특별시 강서 마곡동,,,,확인필요,,,,,,,,0,,,0,0,0
021af0c4a008,2026-09-24T07:58:00+09:00,2026-09-24T08:55:14.856166+09:00,2026-09-25T06:03:24+09:00,경기 북부,,소방출동,경기도 의정부시 의정부동,,,"일반화재(차량,주택)",방문가능,★★,,,,,,,0,,,0,0,0
392b7eaebdb2,2026-09-24T08:38:26+09:00,,2026-09-25T06:03:24+09:00,서울 남부,,소방출동,서울특별시 영등포구 대림동,,,"일반화재(차량,주택)",진화중,,,,,,,,0,,,0,0,0
0041d86cff05,2026-09-24T08:43:05+09:00,,2026-09-25T06:03:24+09:00,서울 남부,,소방출동,서울특별시 송파구 잠실동,가산하우스,주택·빌라,기타화재,진화중,★,,,,,,,0,,,0,0,0
